#slot, chan, Athresholds[slot][chan], Awidths[slot][chan], NINOthreshold_V, PMT_V
0 0 40 0 -1.736 -700
0 1 40 0 -1.736 -700
0 2 85.6277 13.7327 -1.736 -700
0 3 88.1606 10.7509 -1.736 -700
0 4 85.0534 11.4455 -1.736 -700
0 5 74.5427 12.4969 -1.736 -700
0 6 60.1654 17.5146 -1.736 -700
0 7 72.722 16.9171 -1.736 -700
0 8 75.4678 10.9305 -1.736 -700
0 9 81.6208 13.5811 -1.736 -700
0 10 81.5433 15.7252 -1.736 -700
0 11 88.6789 14.3982 -1.736 -700
0 12 92.0751 13.7065 -1.736 -700
0 13 66.4063 14.0597 -1.736 -700
0 14 65.9309 9.32404 -1.736 -700
0 15 71.5727 12.2767 -1.736 -700
